emotion,video_link
Sad,https://www.youtube.com/watch?v=SBWYGGDYmhg
Sad,https://www.youtube.com/watch?v=ZGF6PEThAgE
Sad,https://www.youtube.com/watch?v=DmOzyyWv8nU
Sad,https://www.youtube.com/watch?v=EBgknXt8DmY
Sad,https://www.youtube.com/watch?v=Gv_XBMrPvRw
Sad,https://www.youtube.com/watch?v=vUCM_0evdQY
Sad,https://www.youtube.com/watch?v=q5SAjxSTimE
Sad,https://www.youtube.com/watch?v=eK0IIyBlYew
Sad,https://www.youtube.com/watch?v=EFqkHIMbhQg
Sad,https://www.youtube.com/watch?v=SYU4zsp8_fY
Sad,https://www.youtube.com/watch?v=HEa-e1zVv7M
Sad,https://www.youtube.com/watch?v=cYOB941gyXI
Sad,https://www.youtube.com/watch?v=TjLOYEx4oT0
Sad,https://www.youtube.com/watch?v=xmz_8VX12U8
Sad,https://www.youtube.com/watch?v=f3FFOBrMmdg
Sad,https://www.youtube.com/watch?v=oyaudgo5_8Y
Sad,https://www.youtube.com/watch?v=fSS_R91Nimw
Sad,https://www.youtube.com/watch?v=g0eO74UmRBs
Sad,https://www.youtube.com/watch?v=eQnXxlFR_DY
Sad,https://www.youtube.com/watch?v=vXuO3Yg6yKE
Sad,https://www.youtube.com/watch?v=HYUpNJJELeE
Sad,https://www.youtube.com/watch?v=tGs7iLem1cE
Sad,https://www.youtube.com/watch?v=e01g3pC4ZOo
Sad,https://www.youtube.com/watch?v=yJqcJE2RL8E
Sad,https://www.youtube.com/watch?v=8tuShv57GqM
Sad,https://www.youtube.com/watch?v=ypcZlp8sTks
Sad,https://www.youtube.com/watch?v=Ij3MThuCbu4
Sad,https://www.youtube.com/watch?v=8Q5d0P6x61k
Sad,https://www.youtube.com/watch?v=QmARzCvS0w8
Sad,https://www.youtube.com/watch?v=eD2S1UUL0s4
Sad,https://www.youtube.com/watch?v=z6S4mO1G6yA
Sad,https://www.youtube.com/watch?v=d_BjXQr1zkk
Sad,https://www.youtube.com/watch?v=ftJODeE_qg8
Sad,https://www.youtube.com/watch?v=HQJH-v14Yjw
Sad,https://www.youtube.com/watch?v=csYsvKMjyds
Sad,https://www.youtube.com/watch?v=1JZie6IbI0k
Sad,https://www.youtube.com/watch?v=uIc_C6QDFVM
Sad,https://www.youtube.com/watch?v=YQpAJ319Np4
Sad,https://www.youtube.com/watch?v=V7LwfY5U5WI
Sad,https://www.youtube.com/watch?v=310xH61YrJ8
Sad,https://www.youtube.com/watch?v=0qzsCkLm_Ro
Sad,https://www.youtube.com/watch?v=1poXN3jF3Bw
Sad,https://www.youtube.com/watch?v=5jO9K0rjbt0
Sad,https://www.youtube.com/watch?v=yRER73yLJ_4
Sad,https://www.youtube.com/watch?v=e20EFLNwHuQ
Sad,https://www.youtube.com/watch?v=vXuO3Yg6yKE
Sad,https://www.youtube.com/watch?v=Bj_xaltfmEU
Sad,https://www.youtube.com/watch?v=QXkJ_yR_G50
Sad,https://www.youtube.com/watch?v=G0Hx6uN2AJE
Sad,https://www.youtube.com/watch?v=8qs2dZO6wcc
Sad,https://www.youtube.com/watch?v=bqGtrvcR5ls
Sad,https://www.youtube.com/watch?v=pDtWeGp7KdI
Sad,https://www.youtube.com/watch?v=Na-d8a6zQbU
Sad,https://www.youtube.com/watch?v=ERg6bphJ5NM
Sad,https://www.youtube.com/watch?v=FpY6B-slnV8
Sad,https://www.youtube.com/watch?v=9WmO2caHvzk
Sad,https://www.youtube.com/watch?v=pvppSBtG68c
Sad,https://www.youtube.com/watch?v=fDc1X4hny84
Sad,https://www.youtube.com/watch?v=8KR0-PJm3fE
Sad,https://www.youtube.com/watch?v=qh4wEXST5SU
Sad,https://www.youtube.com/watch?v=WjjKlwt0UNk
Sad,https://www.youtube.com/watch?v=HeFM4VFZL1M
Sad,https://www.youtube.com/watch?v=UfzMaBw3zMo
Sad,https://www.youtube.com/watch?v=yHJf8MSPHk0
Sad,https://www.youtube.com/watch?v=sVRwZEkXepg
Sad,https://www.youtube.com/watch?v=ywk4puRqaEY
Sad,https://www.youtube.com/watch?v=HLGxI6WIHuI
Sad,https://www.youtube.com/watch?v=pGuc4hPhiKw
Sad,https://www.youtube.com/watch?v=8TGgNRbf7fA
Sad,https://www.youtube.com/watch?v=WkkLuQQ_IgY
Sad,https://www.youtube.com/watch?v=Aqz9Y3OnoOk
Sad,https://www.youtube.com/watch?v=BsD4UIpCRCE
Sad,https://www.youtube.com/watch?v=jpsTl6r-UEE
Sad,https://www.youtube.com/watch?v=H-TRCAS3ODU
Sad,https://www.youtube.com/watch?v=6QdFAyYVwSQ
Sad,https://www.youtube.com/watch?v=m-yU17KlXts
Sad,https://www.youtube.com/watch?v=jI7FFN4wW5E
Sad,https://www.youtube.com/watch?v=Br9tGO0uOW4
Sad,https://www.youtube.com/watch?v=yNoQFKMLEpo
Sad,https://www.youtube.com/watch?v=2SsbXS1IM6I
Sad,https://www.youtube.com/watch?v=nF4RAgy6Jkk
Sad,https://www.youtube.com/watch?v=5ImpRoxfeBU
Sad,https://www.youtube.com/watch?v=7fjaLJu4BrE
Sad,https://www.youtube.com/watch?v=NimeWI20gso
Sad,https://www.youtube.com/watch?v=P3689xipmxk
Sad,https://www.youtube.com/watch?v=nmTp_esz_Q8
